epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0982,0.46631,0.28935,0.8205,0.99848,1,0.995,0.84168,0.65427,0.29279,0.84204,0.0006,0.0006,0.0006
2,24.5551,0.48729,0.31415,0.83333,0.99855,1,0.995,0.86518,0.67552,0.30623,0.84819,0.00119584,0.00119584,0.00119584
3,35.0565,0.51586,0.33411,0.83059,0.99927,1,0.995,0.83101,0.73676,0.34066,0.86981,0.00176714,0.00176714,0.00176714
4,44.0494,0.55176,0.34848,0.83881,0.99944,1,0.995,0.82548,0.69777,0.32813,0.86379,0.0018812,0.0018812,0.0018812
5,54.1533,0.53205,0.34008,0.8386,0.9978,1,0.995,0.8158,0.70725,0.3505,0.86439,0.0018416,0.0018416,0.0018416
6,65.1071,0.54063,0.33678,0.83321,0.99919,1,0.995,0.82741,0.68954,0.33039,0.85334,0.001802,0.001802,0.001802
7,74.6266,0.51059,0.33504,0.83647,0.99942,1,0.995,0.83812,0.70028,0.32746,0.84827,0.0017624,0.0017624,0.0017624
8,85.0075,0.53015,0.33542,0.84338,0.99948,1,0.995,0.83188,0.69894,0.33194,0.853,0.0017228,0.0017228,0.0017228
9,96.2076,0.55113,0.3379,0.83167,0.99931,1,0.995,0.83586,0.67804,0.33758,0.84869,0.0016832,0.0016832,0.0016832
10,105.284,0.51819,0.33,0.83443,0.99936,1,0.995,0.83451,0.70856,0.32489,0.85814,0.0016436,0.0016436,0.0016436
11,114.684,0.54686,0.34433,0.83561,0.99151,1,0.995,0.84501,0.70925,0.32999,0.86004,0.001604,0.001604,0.001604
12,124.918,0.50592,0.33466,0.8323,0.99109,1,0.995,0.83503,0.70983,0.34931,0.85953,0.0015644,0.0015644,0.0015644
13,134.037,0.50206,0.33645,0.81811,0.99937,1,0.995,0.83995,0.70508,0.33746,0.85858,0.0015248,0.0015248,0.0015248
14,143.874,0.56526,0.36149,0.85327,0.99718,1,0.995,0.82903,0.69936,0.33461,0.85612,0.0014852,0.0014852,0.0014852
15,154.136,0.53679,0.32837,0.81274,0.99847,0.99174,0.995,0.8235,0.70142,0.32372,0.86891,0.0014456,0.0014456,0.0014456
16,163.504,0.51406,0.33085,0.83245,0.99974,1,0.995,0.8453,0.70486,0.32457,0.85632,0.001406,0.001406,0.001406
17,172.663,0.52648,0.33218,0.83521,0.99955,1,0.995,0.84461,0.72998,0.33091,0.85861,0.0013664,0.0013664,0.0013664
18,182.755,0.52912,0.32563,0.83605,0.99935,1,0.995,0.81967,0.71867,0.3244,0.85744,0.0013268,0.0013268,0.0013268
19,192.815,0.5131,0.33687,0.83953,0.99947,1,0.995,0.84374,0.70661,0.31712,0.85704,0.0012872,0.0012872,0.0012872
20,202.078,0.49735,0.31666,0.83243,0.99884,1,0.995,0.82881,0.7109,0.32171,0.86112,0.0012476,0.0012476,0.0012476
21,212.545,0.49937,0.31711,0.82671,0.99929,1,0.995,0.8463,0.71089,0.31165,0.85949,0.001208,0.001208,0.001208
22,222.673,0.50495,0.31609,0.83431,0.99915,1,0.995,0.84412,0.68049,0.31669,0.85508,0.0011684,0.0011684,0.0011684
23,231.304,0.49305,0.31045,0.83631,0.99932,1,0.995,0.84479,0.6971,0.31774,0.86323,0.0011288,0.0011288,0.0011288
24,241.42,0.51233,0.33134,0.83014,0.99951,1,0.995,0.84276,0.67793,0.30219,0.85777,0.0010892,0.0010892,0.0010892
25,251.919,0.49623,0.31576,0.81152,0.99943,1,0.995,0.83937,0.70443,0.31379,0.85634,0.0010496,0.0010496,0.0010496
26,260.413,0.49619,0.31055,0.84007,0.99948,1,0.995,0.84483,0.70461,0.31523,0.86419,0.00101,0.00101,0.00101
27,270.564,0.50661,0.32429,0.82925,0.99943,1,0.995,0.84198,0.7071,0.3107,0.85798,0.0009704,0.0009704,0.0009704
28,280.716,0.47358,0.30215,0.82954,0.99945,1,0.995,0.84591,0.70334,0.30168,0.85891,0.0009308,0.0009308,0.0009308
29,289.376,0.50129,0.31077,0.83448,0.99944,1,0.995,0.84022,0.703,0.29832,0.85911,0.0008912,0.0008912,0.0008912
30,299.575,0.47389,0.30186,0.8373,0.99933,1,0.995,0.83353,0.68708,0.29896,0.85672,0.0008516,0.0008516,0.0008516
31,309.722,0.47912,0.30542,0.83421,0.99956,1,0.995,0.83688,0.68099,0.31973,0.85582,0.000812,0.000812,0.000812
32,318.195,0.48106,0.30157,0.83242,0.99949,1,0.995,0.83091,0.71978,0.30327,0.86652,0.0007724,0.0007724,0.0007724
33,328.418,0.45598,0.29561,0.82223,0.9995,1,0.995,0.84931,0.68348,0.30162,0.86506,0.0007328,0.0007328,0.0007328
34,338.922,0.4656,0.28679,0.83347,0.99946,1,0.995,0.85101,0.68959,0.30841,0.86351,0.0006932,0.0006932,0.0006932
35,347.377,0.45017,0.28769,0.82305,0.99946,1,0.995,0.82721,0.69742,0.3151,0.86564,0.0006536,0.0006536,0.0006536
36,357.702,0.45922,0.28878,0.82845,0.99904,1,0.995,0.85075,0.67716,0.30311,0.86306,0.000614,0.000614,0.000614
37,367.927,0.43551,0.28732,0.81967,0.99946,1,0.995,0.84618,0.68329,0.29876,0.86245,0.0005744,0.0005744,0.0005744
38,376.319,0.45084,0.29092,0.8252,0.99952,1,0.995,0.85137,0.68397,0.29665,0.85967,0.0005348,0.0005348,0.0005348
39,386.527,0.43299,0.27771,0.8255,0.99941,1,0.995,0.85872,0.67541,0.28828,0.85201,0.0004952,0.0004952,0.0004952
40,396.927,0.43944,0.28473,0.82187,0.99938,1,0.995,0.85802,0.67042,0.29218,0.84968,0.0004556,0.0004556,0.0004556
41,408.33,0.40535,0.25315,0.79154,0.99918,1,0.995,0.84236,0.6909,0.29813,0.85825,0.000416,0.000416,0.000416
42,416.855,0.43019,0.25998,0.8195,0.99946,1,0.995,0.84758,0.69167,0.28703,0.85837,0.0003764,0.0003764,0.0003764
43,426.962,0.39888,0.25044,0.78719,0.99949,1,0.995,0.85157,0.68624,0.28705,0.86218,0.0003368,0.0003368,0.0003368
44,436.501,0.37801,0.24404,0.79293,0.99938,1,0.995,0.85882,0.68477,0.28797,0.86517,0.0002972,0.0002972,0.0002972
45,444.921,0.38175,0.242,0.79051,0.99946,1,0.995,0.84898,0.68486,0.29447,0.86291,0.0002576,0.0002576,0.0002576
46,454.928,0.38006,0.24577,0.8014,0.99949,1,0.995,0.85049,0.6811,0.28864,0.8609,0.000218,0.000218,0.000218
47,464.111,0.3726,0.24241,0.80069,0.99951,1,0.995,0.85068,0.6887,0.29219,0.85959,0.0001784,0.0001784,0.0001784
48,472.904,0.37656,0.24586,0.79709,0.99952,1,0.995,0.85053,0.68066,0.28634,0.85839,0.0001388,0.0001388,0.0001388
49,482.873,0.35583,0.23418,0.79212,0.99949,1,0.995,0.84969,0.68186,0.28849,0.85708,9.92e-05,9.92e-05,9.92e-05
50,491.192,0.34974,0.22992,0.79353,0.9995,1,0.995,0.85202,0.67734,0.28364,0.85599,5.96e-05,5.96e-05,5.96e-05
